Symbol,Company,GICS,GICSSubIndustry,HQ,DateAdded
NEE,NextEra Energy Resources,Utilities,Multi-Utilities &amp; Unregulated Power,"Juno Beach, Florida",
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",
NFLX,NetFlix Inc.,Information Technology,Internet Software &amp; Services,"Los Gatos, California",
NFX,Newfield Exploration Co,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
NI,NiSource Inc.,Utilities,Multi-Utilities &amp; Unregulated Power,"Merrillville, Indiana",
NKE,NIKE Inc.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","Washington County, Oregon",
NLSN,Nielsen Holdings,Industrials,Research &amp; Consulting Services,"New York, New York",2013-07-08
NOC,Northrop Grumman Corp.,Industrials,Aerospace &amp; Defense,"West Falls Church, Virginia",
NOV,National Oilwell Varco Inc.,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
NRG,NRG Energy,Utilities,Multi-Utilities &amp; Unregulated Power,"Princeton, New Jersey",
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",
NTAP,NetApp,Information Technology,Internet Software &amp; Services,"Sunnyvale, California",
NTRS,Northern Trust Corp.,Financials,Diversified Financial Services,"Chicago, Illinois",
NU,Northeast Utilities,Utilities,Multi-Utilities &amp; Unregulated Power,"Berlin, Connecticut",
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares &amp; Specialties,"Sandy Springs, Georgia",
NWSA,News Corporation,Consumer Discretionary,Publishing,"New York, New York",
NYX,NYSE Euronext,Financials,Diversified Financial Services,"New York, New York",
OI,Owens-Illinois Inc,Materials,Metal &amp; Glass Containers,"Perrysburg, Ohio",
OKE,ONEOK,Utilities,Gas Utilities,"Tulsa, Oklahoma",
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",
OXY,Occidental Petroleum,Energy,Oil &amp; Gas Exploration &amp; Production,"Los Angeles, California",
PAYX,Paychex Inc.,Information Technology,Internet Software &amp; Services,"Penfield, New York",
PBCT,People's United Bank,Financials,Banks,"Bridgeport, Connecticut",
PBI,Pitney-Bowes,Industrials,Data Processing Services,"Stamford, Connecticut",
PCAR,PACCAR Inc.,Industrials,Construction &amp; Farm Machinery &amp; Heavy Trucks,"Bellevue, Washington",
PCG,P G &amp; E Corp.,Utilities,Multi-Utilities &amp; Unregulated Power,"San Francisco, California",
PCL,Plum Creek Timber Co.,Financials,REITs,"Seattle, Washington",
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Norwalk, Connecticut",
PCP,Precision Castparts,Industrials,Industrial Conglomerates,"Portland, Oregon",
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",
PEG,Public Serv. Enterprise Inc.,Utilities,Multi-Utilities &amp; Unregulated Power,"Newark, New Jersey",
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",
PETM,"PetSmart, Inc.",Consumer Discretionary,Specialty Stores,"Phoenix, Arizona",2012-10-10
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",
PG,Procter &amp; Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",
PGR,Progressive Corp.,Financials,Property &amp; Casualty Insurance,"Mayfield Village, Ohio",
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Bloomfield Hills, Michigan",
PKI,PerkinElmer,Health Care,Health Care Equipment &amp; Services,"Waltham, Massachusetts",
PLD,Prologis,Financials,Diversified Financial Services,"San Francisco, California",
PLL,Pall Corp.,Industrials,Industrial Conglomerates,"Port Washington, New York",
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",2012-10-01
PNW,Pinnacle West Capital,Utilities,Multi-Utilities &amp; Unregulated Power,"Phoenix, Arizona",
POM,Pepco Holdings Inc.,Utilities,Multi-Utilities &amp; Unregulated Power,Washington D.C,
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",
PPL,PPL Corp.,Utilities,Multi-Utilities &amp; Unregulated Power,"Allentown, Pennsylvania",
PRGO,Perrigo,Health Care,Pharmaceuticals,"Allegan, Michigan",2011-12-16
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey",
PSA,Public Storage,Financials,REITs,"Glendale, California",
PSX,Phillips 66,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"Houston, Texas",2012-04-30
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","New York, New York",2013-02-15
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas",
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",
PXD,Pioneer Natural Resources,Energy,Oil &amp; Gas Exploration &amp; Production,"Irving, Texas",
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",
QEP,QEP Resources,Energy,Oil &amp; Gas Exploration &amp; Production,"Denver, Colorado",
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida",
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",
RDC,Rowan Cos.,Energy,Oil &amp; Gas Drilling,"Houston, Texas",
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama",
RHI,Robert Half International,Industrials,Industrial Conglomerates,"Menlo Park, California",
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","New York, New York",
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida",
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",
RRC,Range Resources Corp.,Energy,Oil &amp; Gas Exploration &amp; Production,"Fort Worth, Texas",
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona",
RTN,Raytheon Co.,Industrials,Aerospace &amp; Defense,"Waltham, Massachusetts",
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",
SCG,SCANA Corp,Utilities,Multi-Utilities &amp; Unregulated Power,"Cayce, South Carolina",
SCHW,Charles Schwab,Financials,Diversified Financial Services,"San Francisco, California",
SE,Spectra Energy Corp.,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"Houston, Texas",
SEE,Sealed Air Corp.(New),Materials,Paper Packaging,"Elmwood Park, New Jersey",
SHW,Sherwin-Williams,Materials,,"Cleveland, Ohio",
SIAL,Sigma-Aldrich,Materials,Diversified Chemicals,"St. Louis, Missouri",
SJM,Smucker (J.M.),Consumer Staples,Packaged Foods &amp; Meats,"Orrville, Ohio",
SLB,Schlumberger Ltd.,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
SLM,SLM Corporation,Financials,Diversified Financial Services,"Newark, Delaware",
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",
SNDK,SanDisk Corporation,Information Technology,Computer Storage &amp; Peripherals,"Milpitas, California",
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting &amp; Cable TV,"Cincinnati, Ohio",
SO,Southern Co.,Utilities,Multi-Utilities &amp; Unregulated Power,"Atlanta, Georgia",
SPG,Simon Property Group Inc,Financials,REITs,"Indianapolis, Indiana",
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",
SRE,Sempra Energy,Utilities,Multi-Utilities &amp; Unregulated Power,"San Diego, California",
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",
STJ,St Jude Medical,Health Care,Health Care Equipment &amp; Services,"Little Canada, Minnesota",
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",
STX,Seagate Technology,Information Technology,Computer Storage &amp; Peripherals,"Dublin, Ireland",2012-06-29
STZ,Constellation Brands,Consumer Staples,Distillers &amp; Vintners,"Victor, New York",
SWK,Stanley Black &amp; Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",
SWN,Southwestern Energy,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
SWY,Safeway Inc.,Consumer Staples,Food Retail,"Pleasanton, California",
SYK,Stryker Corp.,Health Care,Health Care Equipment &amp; Services,"Kalamazoo, Michigan",
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",
T,AT&amp;T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",
TE,TECO Energy,Utilities,Multi-Utilities &amp; Unregulated Power,"Tampa, Florida",
TEG,Integrys Energy Group Inc.,Utilities,Gas Utilities,"Chicago, Illinois",
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment &amp; Instruments,"Schaffhausen, Switzerland",
TER,Teradyne Inc.,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",
THC,Tenet Healthcare Corp.,Health Care,Health Care Facilities,"Dallas, Texas",
TIF,Tiffany &amp; Co.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","New York, New York",
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",
TMK,Torchmark Corp.,Financials,Life &amp; Health Insurance,"McKinney, Texas",
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment &amp; Services,"Waltham, Massachusetts",
TRIP,TripAdvisor,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Newton, Massachusetts",
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland",
TRV,The Travelers Companies Inc.,Financials,Property &amp; Casualty Insurance,"New York, New York",
TSN,Tyson Foods,Consumer Staples,Packaged Foods &amp; Meats,"Springdale, Arkansas",
TSO,Tesoro Petroleum Co.,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"San Antonio, Texas",
TSS,Total System Services,Information Technology,Internet Software &amp; Services,"Columbus, Georgia",
TWC,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting &amp; Cable TV,"New York, New York",
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting &amp; Cable TV,"New York, New York",
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island",
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",
UPS,United Parcel Service,Industrials,Air Freight &amp; Logistics,"Atlanta, Georgia",
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",
V,Visa Inc.,Information Technology,Internet Software &amp; Services,"San Francisco, California",
VAR,Varian Medical Systems,Health Care,Health Care Equipment &amp; Services,"Palo Alto, California",
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","Greensboro, North Carolina",
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting &amp; Cable TV,"New York, New York",
VLO,Valero Energy,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation,"San Antonio, Texas",
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York",
VRSN,Verisign Inc.,Information Technology,Internet Software &amp; Services,"Dulles, Virginia",
VRTX,Vertex Pharmaceuticals Inc,Health Care,Pharmaceuticals,"Cambridge, Massachusetts",
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois",
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",
WAG,Walgreen Co.,Consumer Staples,Drug Retail,"Deerfield, Illinois",
WAT,Waters Corporation,Health Care,Health Care Distributors &amp; Services,"Milford, Massachusetts",
WDC,Western Digital,Information Technology,Computer Storage &amp; Peripherals,"Irvine, California",
WEC,Wisconsin Energy Corporation,Utilities,Multi-Utilities &amp; Unregulated Power,"Milwaukee, Wisconsin",
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",
WIN,Windstream Communications,Telecommunications Services,Integrated Telecommunications Services,"Little Rock, Arkansas",
WLP,WellPoint Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",
WMB,Williams Cos.,Energy,Oil &amp; Gas Exploration &amp; Production,"Tulsa, Oklahoma",
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets &amp; Super Centers,"Bentonville, Arkansas",
WPO,Washington Post Co B,Consumer Discretionary,Publishing,Washington D.C,
WPX,"WPX Energy, Inc.",Energy,Integrated Oil &amp; Gas,"Tulsa, Oklahoma",
WU,Western Union Co,Information Technology,Internet Software &amp; Services,"Englewood, Colorado",
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington",
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Parsippany, New Jersey",
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos &amp; Gaming,"Las Vegas, Nevada",
X,United States Steel Corp.,Materials,Steel,"Pittsburgh, Pennsylvania",
XEL,Xcel Energy Inc,Utilities,Multi-Utilities &amp; Unregulated Power,"Minneapolis, Minnesota",
XL,XL Capital,Financials,Property &amp; Casualty Insurance,"Hamilton, Bermuda",
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",
XOM,Exxon Mobil Corp.,Energy,Integrated Oil &amp; Gas,"Irving, Texas",
XRAY,Dentsply International,Health Care,Health Care Supplies,"York, Pennsylvania",
XRX,Xerox Corp.,Information Technology,IT Consulting &amp; Services,"Norwalk, Connecticut",
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",
YHOO,Yahoo Inc.,Information Technology,Internet Software &amp; Services,"Sunnyvale, California",
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah",
ZMH,Zimmer Holdings,Health Care,Health Care Equipment &amp; Services,"Warsaw, Indiana",
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",
